word,count
appellerez,1632.32
appellerons,1632.24
appelât,1632.11
partait,1631.98
appelleriez,1631.79
appelleraient,1631.54
appellerions,1631.06
partit,1630.6
peu,1629.1
parte,1628.36
connaissent,1625.5
connue,1621.38
partent,1620.29
partant,1617.59
connus,1613.94
partirai,1613.62
partira,1612.98
connaissaient,1611.6
juste,1611.57
partaient,1610.85
partais,1609.75
connaissons,1608.96
connaissiez,1606.84
mal,1606.82
partes,1606.1
parties,1606.05
partirait,1605.49
connaisse,1605.39
comprenez,1605.35
partiez,1605
sortez,1604.89
partions,1604.62
partirons,1604.23
partirent,1603.96
ami,1603.14
partirais,1603.07
partiras,1602.91
partirez,1601.84
connaissant,1601.45
sortit,1601.1
côté,1600.42
partiront,1600.1
partîmes,1599.67
comment,1599.36
eux,1599.22
partiraient,1599.07
partirions,1598.46
connut,1598.22
partît,1598.12
partiriez,1598.06
partisse,1597.72
partissent,1597.72
connues,1597.66
connaissions,1597.3
connaîtra,1594.65
connaîtrait,1593.78
connaîtras,1593.56
connaîtrais,1593.45
connaîtrai,1593.42
connaisses,1592.93
connût,1592.52
connaîtrez,1592.5
connurent,1592.17
connaîtrons,1591.93
connaîtront,1591.84
connaîtraient,1591.31
connaîtriez,1591.19
connusse,1590.63
connussent,1590.63
connûmes,1590.5
connaîtrions,1590.46
connusses,1590.36
mondes,1588.1
coups,1588
arrêté,1581.81
comprend,1581.52
sens,1577.94
sortait,1575.26
sortie,1565.68
sortant,1557.06
comprenait,1554.28
sortis,1554.24
entend,1552.67
arrêta,1551.28
sortent,1548.23
comprit,1546.67
première,1543.65
comprenais,1537.77
sorte,1537.7
sortira,1536.69
sortaient,1536.01
entendait,1535.17
sûre,1535.11
jeune,1533.74
comprennent,1529.69
sortons,1529.59
pendant,1525.52
sortirent,1525.13
sortais,1524.49
sortiras,1522.62
sortirai,1521.41
sortirait,1520.32
comprenne,1519.83
comprendra,1519.73
sorties,1519.29
comprenant,1518.18
comprendras,1518.1
comprendrait,1516.51
sortions,1515.88
quelqu'un,1515.84
comprendrais,1515.78
sortirais,1515.7
sortirez,1515.56
sortiront,1515.39
sortes,1515.36
sortiez,1515.24
sortirons,1515.21
comprendrez,1515.02
comprise,1514.54
comprenons,1514.37
sortiraient,1514.24
comprenaient,1514.12
quelle,1513.88
comprennes,1513.68
sortîmes,1513.34
entendit,1512.6
sortît,1512.44
comprendrai,1512.36
comprendront,1512.3
sortiriez,1512.3
sortirions,1512.18
compreniez,1511.9
comprît,1510.96
tuer,1510.93
comprenions,1510.46
comprendraient,1510.22
comprirent,1510.14
comprendriez,1510.1
comprises,1509.38
comprendrons,1508.87
comprisse,1508.58
comprîmes,1508.53
comprendrions,1508.42
entendez,1506.89
arrêtait,1502.35
amis,1498.21
place,1488.39
voix,1487.06
mères,1487.05
arrêtée,1485.48
entendais,1485.21
têtes,1484.02
arrêtes,1480.15
arrêtés,1478.99
fait,1477.59
arrêtent,1476.32
eau,1474.05
arrêtera,1473.41
arrêtant,1473.3
entendue,1473.11
arrêtaient,1467.01
arrêtèrent,1466.53
entendis,1465.66
arrêtons,1465.59
chaque,1465.28
morte,1464.77
entendant,1464.74
arrêtais,1464.65
entende,1462.98
arrêtai,1462.92
entendent,1462.18
arrêtées,1461.14
corps,1460.98
arrêterait,1460.9
arrêterai,1460.83
entendus,1459.69
arrêteront,1459.66
arrêterais,1459.03
arrêtions,1458.26
arrêtiez,1458.05
arrêteras,1458.03
arrêterons,1457.87
arrêtât,1457.71
arrêterez,1457.63
arrêtâmes,1457.52
arrêteraient,1457.38
entendra,1456.97
arrêteriez,1456.61
arrêtassent,1456.49
arrêterions,1456.4
entendaient,1456.4
fils,1455.58
tenir,1455.56
entendons,1454.98
entendions,1454.23
entendirent,1453.07
entendrait,1452.68
entendues,1451.75
entendrez,1451.71
entendiez,1450.84
entendras,1450.66
entendrai,1450.23
entendît,1450.09
entendrais,1449.86
entendront,1449.8
entendîmes,1449.62
entendrons,1449.23
entendes,1449.21
entendraient,1448.9
raison,1448.5
entendriez,1448.21
entendissent,1448
entendrions,1447.96
entendisse,1447.93
tenait,1445.68
terre,1444.53
sentait,1438.02
premier,1433.58
tient,1420.92
nuits,1419.64
argent,1418.85
fini,1417.39
sent,1413.18
car,1413.04
beaux,1412.91
enfin,1412.2
tué,1405.82
belles,1403.85
